title,sku_id,Variant_id,Variant,category,sub_category
Potato,5c0e70078d92d07fdfc24839,5c0e70078d92d07fdfc2483a,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Onion,5c1212046d62156290e94b08,5c2311b266af1577818acb9b,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Tomato,5c0e70078d92d07fdfc24863,5c6aa49f8fb99d101223a98d,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Coriander Leaves,5c0e70078d92d07fdfc247d9,5d6e093f4fce012c1d0fe96b,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Mint Leaves,5c0e70078d92d07fdfc2481d,5d6e093e4fce012c1d0fe113,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Ladies finger,5c0e70078d92d07fdfc24811,5c0e70078d92d07fdfc24813,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Nadu Tomatoes,5d2c2b729e1975027f936d3e,5d2c2b729e1975027f936d3f,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Onion Bellary,5cc83faf13f1917fbe4ba705,5cc83faf13f1917fbe4ba707,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Lemon,5c0e70078d92d07fdfc24815,5d6e09404fce012c1d0feebe,4 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Tomato,5c0e70078d92d07fdfc24863,5c0e70078d92d07fdfc24864,500 Gms,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Green Chillies,5c0e70078d92d07fdfc247ff,5c0e70078d92d07fdfc24802,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Palak Spinach,5c0e70078d92d07fdfc24829,5c9a2c32275f537fd49340ab,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Carrot,5c0e75068d92d07fdfcf7420,5c0e75068d92d07fdfcf7422,500 Gms,Fresh Vegetables,Root Vegetables
Ginger,5c0e790f8d92d07fdfd9df0e,5c0e790f8d92d07fdfd9df11,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Bainganpalli Mango,5c790174d661476ccea63567,5c790174d661476ccea63568,1 Kg,Fresh Fruits,Mangoes
Cauliflower,5c0e70078d92d07fdfc247c2,5d6e093f4fce012c1d0fe904,1 Pc,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Button Mushroom,5c0e70078d92d07fdfc247ba,5c0e70078d92d07fdfc247bb,200 Gms,Fresh Vegetables,"Peas, Corn, Mushrooms"
Green Capsicum,5c0e790f8d92d07fdfd9df12,5c0e790f8d92d07fdfd9df14,500 Gms,Fresh Vegetables,Cucumber & Capsicum
Cucumber,5c6e7d63019ca52990d5b937,5c6e7d63019ca52990d5b939,500 Gms,Fresh Vegetables,Cucumber & Capsicum
Potato,5c0e70078d92d07fdfc24839,5c0e70078d92d07fdfc2483b,500 Gms,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Banana / Yellaki,5bd323493cd51519e9353fbe,5bd323493cd51519e9353fbf,1 Kg,Fresh Fruits,"Banana, Guava, Sapota"
Green Chillies,5c0e70078d92d07fdfc247ff,5c71485a86a6a23ab60ed4dc,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Beetroot,5c6e7e60019ca52990d6136e,5c6e7e60019ca52990d61370,500 Gms,Fresh Vegetables,Root Vegetables
Garlic,5c0e790f8d92d07fdfd9df0a,5c0e790f8d92d07fdfd9df0d,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Id Special Idli Dosa Batter,5bc87ae20d298a283c297882,5bc87ae20d298a283c297883,1 Kg,Instant Foods & Ready To Eat,Ready to Cook
Banana / Yellaki,5bd323493cd51519e9353fbe,5bd323493cd51519e9353fc0,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Ladies finger,5c0e70078d92d07fdfc24811,5c0e70078d92d07fdfc24812,1 Kg,Fresh Vegetables,"Beans, Brinjals, Okra"
Britannia Whole Wheat Brown Bread,5bc87ae10d298a283c29702f,5bc87ae10d298a283c297030,400 Gms,Breakfast & Dairy,Bread & Buns
Capsicum,5d3fe24447ddec28ec55508e,5d3fe24447ddec28ec555090,500 Gms,Fresh Vegetables,Cucumber & Capsicum
Nandini Good Life Milk Tetra Pack,5bc87ae20d298a283c297c7b,5bc87ae20d298a283c297c7c,500 Ml,Breakfast & Dairy,Milk
Beans,5d3fe24447ddec28ec55509a,5d3fe24447ddec28ec55509c,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Britannia Whole Wheat Brown Bread,5bc87ae10d298a283c29702f,5c5d75b31ddbbf1242f3568d,450 Gms,Breakfast & Dairy,Bread & Buns
Fresh Coconut,5c28381bf7e98871f42dc218,5c28381bf7e98871f42dc219,1 Pc,Fresh Fruits,Coconut
Ginger,5c0e790f8d92d07fdfd9df0e,5c6e8bae019ca52990dcaf3e,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Cabbage,5c0e75068d92d07fdfcf741e,5cdad7268ebff75be21aa3e0,500 Gms,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Pomegranate,5c0e70078d92d07fdfc24835,5c9a2c75275f537fd493414d,1 Kg,Fresh Fruits,"Papaya, Pineapple, Pomegranate"
Cauliflower,5c0e70078d92d07fdfc247c2,5c0e70078d92d07fdfc247c4,500 Gms,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Amul Butter,5bc87ae10d298a283c296e1f,5bc87ae10d298a283c296e20,100 Gms,Breakfast & Dairy,Dairy
Malli Leaves,5d2c2b719e1975027f936d18,5d2c2b719e1975027f936d19,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Cabbage,5c0e75068d92d07fdfcf741e,5cdad6de8ebff75be21aa3c8,1 Kg,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Cabbage,5c0e75068d92d07fdfcf741e,5c0e75068d92d07fdfcf741f,1 Pc,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Lemon,5c0e70078d92d07fdfc24815,5d6e09404fce012c1d0feebf,3 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Milky Mist Curd Pouch,5c282c2ff7e98871f4f8bf71,5c282c2ff7e98871f4f8bf72,500 Gms,Breakfast & Dairy,Dairy
Cauliflower,5c0e70078d92d07fdfc247c2,5c0e70078d92d07fdfc247c3,1 Kg,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Milky Mist Paneer,5bc87ae20d298a283c297bad,5bc87ae20d298a283c297bae,200 Gms,Breakfast & Dairy,Dairy
Carrot,5c0e75068d92d07fdfcf7420,5c0e75068d92d07fdfcf7421,1 Kg,Fresh Vegetables,Root Vegetables
Watermelon,5c264106bbc7ac725f513919,5caef4c1de0f3b0443a7d849,1 Pc,Fresh Fruits,Melon
Big Onions,5d2c2b719e1975027f936d12,5d2c2b719e1975027f936d13,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Lemon,5c0e70078d92d07fdfc24815,5c0e70078d92d07fdfc24817,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Watermelon,5c264106bbc7ac725f513919,5c6aa4518fb99d1012236a6f,1 Kg,Fresh Fruits,Melon
Power Eggs,5c0fbcc966f5461aad57d0f4,5c0fbcc966f5461aad57d0f5,6 Pcs,Breakfast & Dairy,Egg
Cucumber,5c6e7d63019ca52990d5b937,5c6e7d63019ca52990d5b938,1 Kg,Fresh Vegetables,Cucumber & Capsicum
Fresh Coconut,5c28381bf7e98871f42dc218,5d726518cf86ff333fe791d2,1 Kg,Fresh Fruits,Coconut
Papaya,5caef825de0f3b0443a7d9d7,5cbdf1953a1b1d1c2eba24d7,1 Kg,Fresh Fruits,"Papaya, Pineapple, Pomegranate"
Lemon,5c0e70078d92d07fdfc24815,5d6e09404fce012c1d0feec1,1 Pc,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Curry leaves,5c0e70078d92d07fdfc247e1,5d6e093f4fce012c1d0fe993,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Coriander Leaves,5c9a2a2f275f537fd4933d08,5c9a2a2f275f537fd4933d09,1 bunch,Fresh Herbs and Seasoning,Indian Herbs
Papaya - Nati,5bd323493cd51519e9354012,5bd323493cd51519e9354013,1 Kg,Fresh Fruits,"Papaya, Pineapple, Pomegranate"
Thums Up Pet Bottle,5c029bdf08e0144a1a435dfd,5c029bdf08e0144a1a435dff,750 Ml,Beverages,Soft Drinks
Fresh Drumstick,5c28381bf7e98871f42dc262,5c6a97528fb99d1012220848,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Apple Royal Gala,5c35dbf1b1e6c12dfdc86725,5c35dbf1b1e6c12dfdc86726,1 Kg,Fresh Fruits,"Apples, Pears, Plums"
Green Grapes,5d2c2b729e1975027f936df8,5d2c2b729e1975027f936df9,500 Gms,Fresh Fruits,Grapes
Curry leaves,5c0e70078d92d07fdfc247e1,5d6e093f4fce012c1d0fe994,1 Bunch,Fresh Herbs and Seasoning,Indian Herbs
Okra / Ladies Finger,5bd323493cd51519e93540bc,5bd323493cd51519e93540be,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Banana Robusta,5c0e70078d92d07fdfc2478a,5c0e70078d92d07fdfc2478b,1 Kg,Fresh Fruits,"Banana, Guava, Sapota"
Coriander Leaves,5c0e70078d92d07fdfc247d9,5c0e70078d92d07fdfc247dc,100 Gms,Fresh Herbs and Seasoning,Indian Herbs
Lays Hot n Sweet Chilli Potato Chips,5be591cb3832916b18314f9c,5c30f111870efa7d31569d5c,52 Gms,Snacks & Frozen Food,Chips & Crisps
Pomegranate,5c0e70078d92d07fdfc24835,5caef31805e9da7da2ab3b6e,500 Gms,Fresh Fruits,"Papaya, Pineapple, Pomegranate"
Ginger,5c0e75068d92d07fdfcf743f,5c0e75068d92d07fdfcf7442,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Methi Leaves,5c0e70078d92d07fdfc24819,5c9a2bff275f537fd4934017,Whole Bunch,Fresh Herbs and Seasoning,Indian Herbs
Heritage Toned Milk,5bdc77826cb2d102bff83173,5bdc77826cb2d102bff83175,500 Ml,Breakfast & Dairy,Milk
Tata Salt,5bf85868269a0f1dd3c3791b,5bf85868269a0f1dd3c3791c,1 Kg,Provisions,"Salt, Sugar & Jaggery"
Onion,5c1212046d62156290e94b08,5c1212046d62156290e94b09,500 Gms,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Mango - Alphonso,5bd323493cd51519e9353fd6,5bd323493cd51519e9353fd7,1 Kg,Fresh Fruits,Mangoes
Raw Mango,5caef825de0f3b0443a7d9be,5d2c6ec99e1975027f93ce0d,500 Gms,Fresh Fruits,Mangoes
Mosambi,5c0916970ac44c06a6f15e01,5c6aa3d48fb99d101223296e,1 Kg,Fresh Fruits,"Oranges, Mosambi"
Ginger,5c0e75068d92d07fdfcf743f,5c0e75068d92d07fdfcf7441,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Button Mushroom,5c0e70078d92d07fdfc247ba,5c9a2b0f275f537fd4933ef9,1 Pack,Fresh Vegetables,"Peas, Corn, Mushrooms"
Pineapple,5c80d9cbd8b2f755a2d44052,5d6e093e4fce012c1d0fe342,1 Pc,Fresh Fruits,"Papaya, Pineapple, Pomegranate"
Tomato Hybrid,5c0916970ac44c06a6f15e97,5c6aa3d48fb99d1012232a16,1 Kg,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Broccoli,5c0e70078d92d07fdfc247b6,5c0e70078d92d07fdfc247b8,500 Gms,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Parle Hide & Seek Biscuits,5bf85867269a0f1dd3c371bb,5bf85867269a0f1dd3c371bc,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
